 ,Subject Area,Type of Doc,Topic,Funnel to Product Page,Length of Doc (characters),Content Difficulty Level,Inteded User Type,Views (March23'-March25'),Users (March23'-March25'),Rank Based on # of Views
GitHub Security Features,Security ,Overview,An overview of GitHub security features.,No,"6,685",Intermediate,Intermediate,"179,652","120,360",
Dependabot quickstart guide,Security ,Technical Guide,enabling Dependabot for a repository,No,"2,549",Intermediate,Intermediate,"179,871","107,480",
Quickstart for securing your repository,Security ,Technical Guide,GitHub features to help keep your repository secure,No,"7,915",Intermediate,Intermediate,"56,865","43,747",
Adding a security policy to your repository,Security ,Tutorial,how to report a security vulnerability,No,"3,228",Intermediate,Intermediate,"102,187","74,239",
Auditing security alerts,Security ,Overview,Audit and monitor actions for security alerts,No ,"5,224",Beginner,Intermediate,"26,426","20,863",
Best practices for preventing data leaks in your organization,Security ,Technical Guide,avoid private or sensitive data present in orgs,No,"7,432",Beginner,Intermediate,"120,552","78,234",
Planning a trial of GitHub Advanced Security,Security ,Technical Guide,GHAS trial set up,No,"6,088",Intermediate,Intermediate,"36,274","29,960",
Enabling security features in your trial enterprise,Security ,Technical Guide,create an enterprise-level configuration,No,"5,420",Beginner,Intermediate,-,-,
Exploring your enterprise trial of secret scanning,Security ,Technical Guide,secret scanning available with GitHub Enterprise Cloud ,No,"5,546",Intermediate,Intermediate,-,-,
Exploring your enterprise trial of code scanning,Security ,Technical Guide,code and dependency scanning available in GHEC,No,"11,533",Intermediate,Intermediate,-,-,
About enabling security features at scale,Security ,Technical Guide,security configurations and global settings.,No,"3,614",Intermediate,Intermediate,"19,997","17,228",
Choosing a security configuration for your repositories,Security ,Technical Guide,type of security configuration by repo,No,"2,362",Intermediate,Intermediate,"8,003","6,961",
Applying the GitHub-recommended security configuration in your organization,Security ,Tutorial,security enablement settings,No,"6,380",Intermediate,Intermediate,"12,781","9,826",
Creating a custom security configuration,Security ,Tutorial,custom security configuration,No,"5,773",Intermediate,Intermediate,"4,828","3,969",
Applying a custom security configuration,Security ,Tutorial,custom security configuration,No,"3,557",Intermediate,Intermediate,"3,229","2,990",
Configuring global security settings for your organization,Security ,Tutorial,Customize GitHub Advanced Security features,No,"8,127",Intermediate,Intermediate,"13,348","9,622",
Giving security features access to private registries,Security ,Tutorial,improve the results of code scanning analysis,No,"6,042",Intermediate,Intermediate,643,593,
Interpreting security findings,Security ,Technical Guide,analyze security data on repositories,No,"3,984",Intermediate,Intermediate,"3,370","3,221",
Filtering repositories in your organization using the repository table,Security ,Tutorial,filter the repository table,No,"2,278",Intermediate,Intermediate,"5,702","5,027",
Editing a custom security configuration,Security ,Tutorial,Change the enablement settings,No,"3,186",Intermediate,Intermediate,"3,365","3,127",
Managing your GitHub Advanced Security license usage,Security ,Technical Guide,understand and control GitHub Advanced Security license,No,912,Beginner,Intermediate,"7,276","6,113",
Detaching repositories from their security configurations,Security ,Tutorial,unlink repositories from their security configurations ,No,"2,627",Intermediate,Intermediate,"4,332","4,128",
Finding and fixing configuration attachment failures,Security ,Tutorial, repositories where the security configuration could not be attached,No,"1,993",Intermediate,Intermediate,477,452,
Deleting a custom security configuration,Security ,Tutorial,delete unnecessary custom security configurations,No,"1,907",Intermediate,Intermediate,"3,088","2,849",
A repository is using advanced setup for code scanning,Security ,Tutorial,security configuration with code scanning enabled to repositories,No,"2,215",Intermediate,Intermediate,"3,837","3,621",
Not enough GitHub Advanced Security licenses,Security ,Technical Guide,available GHAS licenses to enable GHAS features,No,"1,266",Intermediate,Intermediate,"5,389","5,122",
About secret scanning,Security ,Overview,Secret Scanning Overview,No,"5,932",Intermediate,Intermediate,"204,568","142,293",
