"id","github_id","title","created_at","updated_at","deleted_at","slug","roster_id","organization_webhook_id","google_course_id","archived_at","git_and_github_course_repo_id","snapshot_date"
"125,656","104,726,573","niccky7-classroom-1","2022-05-09 15:26:02.0000","2022-05-09 15:26:02.0000","","104726573-niccky7-classroom-1","","","","","","2025-04-23"
"125,726","45,670,642","erhsMustangs-classroom-2","2022-05-10 03:44:35.0000","2022-05-12 16:19:28.0000","","45670642-erhsmustangs-classroom-2","43,080","","451865682793","","491,586,778","2025-04-23"
"125,735","105,216,405","Varsity-College-Durban-North-BCAD1-Group2","2022-05-10 06:50:44.0000","2024-03-01 22:40:35.0000","","105216405-varsity-college-durban-north-bcad1-group2","","","","2024-03-01 22:40:35.0000","618,467,768","2025-04-23"
"125,739","105,273,167","CodingInTheWildMissGaelle-classroom-1","2022-05-10 07:36:58.0000","2022-05-10 07:39:10.0000","","105273167-codinginthewildmissgaelle-classroom-1","","","","","490,591,668","2025-04-23"
"125,763","73,837,573","UTSA-CPE-2073-Fall2022","2022-05-10 12:38:44.0000","2022-05-10 12:39:47.0000","","73837573-utsa-cpe-2073-fall2022","","","","","490,690,851","2025-04-23"
"125,768","8,353,354","aptera-classroom-1","2022-05-10 13:22:59.0000","2022-05-10 13:24:59.0000","","8353354-aptera-classroom-1","","","","2022-05-10 13:24:59.0000","","2025-04-23"
"125,776","105,201,244","DaftAcademy Python LevelUP: Dev 2022","2022-05-10 13:50:00.0000","2022-05-10 13:50:16.0000","","105201244-daftacademy-python-levelup-dev-2022","","","","","","2025-04-23"
"125,785","105,303,161","RMKCET-ADS-classroom-2","2022-05-10 15:22:35.0000","2022-05-11 17:42:13.0000","2022-05-11 17:42:13.0000","105303161-rmkcet-ads-classroom-2","","","","","","2025-04-23"
"125,796","105,308,744","challenge-data","2022-05-10 17:02:46.0000","2022-05-10 17:58:29.0000","","105308744-challenge-data","","","","2022-05-10 17:58:29.0000","","2025-04-23"
"125,801","105,311,700","Educator-Agua-y-Saneamiento-classroom-1","2022-05-10 17:44:31.0000","2022-05-10 17:45:15.0000","","105311700-educator-agua-y-saneamiento-classroom-1","","","","","490,802,607","2025-04-23"
