documentation_href,unique_users
https://docs.github.com/en/copilot/troubleshooting-github-copilot/troubleshooting-issues-with-github-copilot-chat-in-ides#troubleshooting-authentication-issues-in-your-editor,266
https://docs.github.com/ja/copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-the-copilot-subscription-for-your-organization/subscribing-to-copilot-for-your-organization,159
https://docs.github.com/ko/copilot/using-github-copilot/getting-code-suggestions-in-your-ide-with-github-copilot,2360
https://docs.github.com/ko/copilot/managing-copilot/managing-copilot-as-an-individual-subscriber/managing-copilot-policies-as-an-individual-subscriber#enabling-or-disabling-alternative-ai-models,48
https://docs.github.com/en/enterprise-cloud@latest/copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-the-copilot-subscription-for-your-organization/subscribing-to-copilot-for-your-organization,261
https://docs.github.com/ja/enterprise-cloud@latest/copilot/about-github-copilot/github-copilot-features,74
https://docs.github.com/ja/copilot/managing-copilot/managing-copilot-as-an-individual-subscriber/managing-your-github-copilot-pro-subscription/canceling-copilot-pro-as-an-individual-user,231
https://docs.github.com/ja/copilot/responsible-use-of-github-copilot-features/responsible-use-of-github-copilot-text-completion,21
https://docs.github.com/ja/copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-the-copilot-subscription-for-your-organization/about-billing-for-github-copilot-in-your-organization,229
https://docs.github.com/en/enterprise-cloud@latest/copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-the-copilot-subscription-for-your-enterprise/about-billing-for-github-copilot-in-your-enterprise#about-seat-assignment-for-copilot-in-your-enterprise,2
https://docs.github.com/pt/enterprise-cloud@latest/copilot/managing-copilot/configure-personal-settings/installing-the-github-copilot-extension-in-your-environment,46
https://docs.github.com/en/enterprise-cloud@latest/copilot/responsible-use-of-github-copilot-features/responsible-use-of-github-copilot-pull-request-summaries,136
https://docs.github.com/en/copilot/using-github-copilot/guides-on-using-github-copilot/refactoring-code-with-github-copilot#cleaning-up-repeated-code,1
https://docs.github.com/en/copilot/using-github-copilot/asking-github-copilot-questions-in-github#asking-a-general-question-about-software-development,15
https://docs.github.com/pt/copilot/building-copilot-extensions/building-a-copilot-agent-for-your-copilot-extension/about-copilot-agents,19
https://docs.github.com/zh/enterprise-cloud@latest/copilot/building-copilot-extensions/building-a-copilot-agent-for-your-copilot-extension/about-copilot-agents,27
https://docs.github.com/zh/copilot/customizing-copilot/adding-repository-custom-instructions-for-github-copilot?tool=webui#enabling-or-disabling-repository-custom-instructions,3
https://docs.github.com/en/enterprise-cloud@latest/copilot/managing-copilot/configure-personal-settings/installing-the-github-copilot-extension-in-your-environment?tool=xcode,6
https://docs.github.com/ja/copilot/building-copilot-extensions/copilot-extensions-faq,3
https://docs.github.com/de/enterprise-cloud@latest/copilot/using-github-copilot/asking-github-copilot-questions-in-windows-terminal,3
