documentation_href,total_users,total_workflow_operations,unique_operations,success_users,failed_users,skipped_users
https://docs.github.com/en/actions/hosting-your-own-runners/managing-self-hosted-runners/managing-access-to-self-hosted-runners-using-groups,910,1451,3,746,637,68
https://docs.github.com/ja/actions/writing-workflows/choosing-what-your-workflow-does/accessing-contextual-information-about-workflow-runs#github-context,102,177,3,96,68,13
https://docs.github.com/en/actions/writing-workflows/workflow-syntax-for-github-actions#example-using-versioned-actions,100,158,3,81,69,8
https://docs.github.com/en/actions/monitoring-and-troubleshooting-workflows/monitoring-workflows/using-the-visualization-graph,298,480,3,267,187,26
https://docs.github.com/en/actions/writing-workflows/choosing-what-your-workflow-does/workflow-commands-for-github-actions#setting-an-environment-variable,1324,2363,3,1169,1069,125
https://docs.github.com/en/actions/writing-workflows/choosing-when-your-workflow-runs/events-that-trigger-workflows#running-your-workflow-only-when-a-push-of-specific-tags-occurs,9,16,3,8,5,3
https://docs.github.com/ru/actions/use-cases-and-examples/publishing-packages/publishing-java-packages-with-gradle,4,6,2,2,4,0
https://docs.github.com/en/enterprise-cloud@latest/actions/use-cases-and-examples/building-and-testing/building-and-testing-go,7,11,2,6,5,0
https://docs.github.com/pt/actions/writing-workflows/quickstart,345,530,3,269,251,10
https://docs.github.com/en/enterprise-cloud@latest/actions/writing-workflows/about-workflows,44,75,3,39,30,6
https://docs.github.com/ja/billing/managing-billing-for-your-products/managing-billing-for-github-actions/about-billing-for-github-actions#per-minute-rates,36,56,3,31,21,4
https://docs.github.com/en/actions/managing-workflow-runs-and-deployments/managing-deployments/managing-environments-for-deployment#custom-deployment-protection-rules,348,568,3,306,233,29
https://docs.github.com/en/rest/actions/hosted-runners#list-github-hosted-runners-for-an-organization,6,8,3,4,3,1
https://docs.github.com/ja/code-security/dependabot/working-with-dependabot/about-dependabot-on-github-actions-runners,28,44,3,26,11,7
https://docs.github.com/en/actions/writing-workflows/workflow-syntax-for-github-actions#onworkflow_runbranchesbranches-ignore,111,215,3,103,84,28
https://docs.github.com/en/rest/actions/workflow-runs?apiVersion=2022-11-28#get-workflow-run-usage,33,50,3,26,17,7
https://docs.github.com/en/enterprise-cloud@latest/pages/getting-started-with-github-pages/configuring-a-publishing-source-for-your-github-pages-site#publishing-with-a-custom-github-actions-workflow,2,3,2,2,1,0
https://docs.github.com/es/actions/sharing-automations/reusing-workflows#calling-a-reusable-workflow,8,14,2,7,7,0
https://docs.github.com/en/enterprise-server@3.15/admin/managing-github-actions-for-your-enterprise/enabling-github-actions-for-github-enterprise-server/managing-self-hosted-runners-for-dependabot-updates?search-overlay-open=true,1,2,2,1,1,0
https://docs.github.com/de/actions/managing-workflow-runs-and-deployments/managing-workflow-runs/re-running-workflows-and-jobs,6,7,2,3,4,0
