"Article","Views"
"actions/security-guides/automatic-token-authentication","976559"
"actions/security-guides/using-secrets-in-github-actions","910859"
"code-security/dependabot/dependabot-version-updates/configuration-options-for-the-dependabot.yml-file","848987"
"get-started/learning-about-github/about-github-advanced-security","744332"
"code-security/dependabot/dependabot-security-updates/configuring-dependabot-security-updates","682593"
"actions/security-for-github-actions/security-hardening-your-deployments/configuring-openid-connect-in-google-cloud-platform","666272"
"actions/security-for-github-actions/security-guides/using-secrets-in-github-actions","473990"
"actions/deployment/security-hardening-your-deployments/configuring-openid-connect-in-google-cloud-platform","361968"
"actions/security-guides/encrypted-secrets","351813"
"actions/security-for-github-actions/security-guides/automatic-token-authentication","335985"
"code-security/code-scanning/introduction-to-code-scanning/about-code-scanning","305227"
"actions/deployment/security-hardening-your-deployments/configuring-openid-connect-in-amazon-web-services","275106"
"code-security/supply-chain-security/understanding-your-software-supply-chain/about-the-dependency-graph","260211"
"code-security","253472"
"actions/deployment/security-hardening-your-deployments/about-security-hardening-with-openid-connect","253455"
"actions/security-guides/security-hardening-for-github-actions","239120"
"organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/reviewing-the-audit-log-for-your-organization","236155"
"code-security/dependabot/dependabot-security-updates/about-dependabot-security-updates","227126"
"code-security/dependabot/dependabot-version-updates/configuring-dependabot-version-updates","216257"
"code-security/dependabot/dependabot-alerts/about-dependabot-alerts","203297"
"code-security/secret-scanning/about-secret-scanning","195653"
"code-security/getting-started/dependabot-quickstart-guide","179871"
"code-security/getting-started/github-security-features","179652"
"code-security/secret-scanning/secret-scanning-patterns","178967"
"code-security/code-scanning/introduction-to-code-scanning/about-code-scanning-with-codeql","176190"
"code-security/dependabot","173021"
"code-security/dependabot/working-with-dependabot/automating-dependabot-with-github-actions","159564"
"code-security/code-scanning/enabling-code-scanning/configuring-default-setup-for-code-scanning","154028"
"code-security/code-scanning","143861"
"organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/managing-allowed-ip-addresses-for-your-organization","141141"
"code-security/dependabot/dependabot-version-updates/about-dependabot-version-updates","129581"
"code-security/code-scanning/creating-an-advanced-setup-for-code-scanning/customizing-your-advanced-setup-for-code-scanning","128480"
"organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/restricting-email-notifications-for-your-organization","125987"
"code-security/dependabot/working-with-dependabot/managing-pull-requests-for-dependency-updates","121090"
"code-security/getting-started/best-practices-for-preventing-data-leaks-in-your-organization","120552"
"code-security/secret-scanning","115932"
"code-security/dependabot/working-with-dependabot/troubleshooting-dependabot-errors","102933"
"code-security/getting-started/adding-a-security-policy-to-your-repository","102187"
"code-security/dependabot/working-with-dependabot/configuring-access-to-private-registries-for-dependabot","101560"
"code-security/secret-scanning/pushing-a-branch-blocked-by-push-protection","99532"
"billing/managing-billing-for-github-advanced-security/about-billing-for-github-advanced-security","99180"
"actions/security-for-github-actions/security-hardening-your-deployments/configuring-openid-connect-in-amazon-web-services","98986"
"code-security/supply-chain-security/understanding-your-software-supply-chain/about-supply-chain-security","96734"
"code-security/dependabot/working-with-dependabot","96267"
"actions/security-for-github-actions/security-hardening-your-deployments/about-security-hardening-with-openid-connect","96260"
"code-security/secret-scanning/introduction/about-secret-scanning","92959"
"repositories/managing-your-repositorys-settings-and-features/enabling-features-for-your-repository/managing-security-and-analysis-settings-for-your-repository","91365"
"authentication/keeping-your-account-and-data-secure/reviewing-your-security-log","91124"
"actions/security-for-github-actions/security-guides/security-hardening-for-github-actions","90466"
"code-security/code-scanning/integrating-with-code-scanning/sarif-support-for-code-scanning","90321"
"code-security/supply-chain-security/understanding-your-software-supply-chain/exploring-the-dependencies-of-a-repository","87519"
"code-security/secret-scanning/working-with-secret-scanning-and-push-protection/working-with-push-protection-from-the-command-line","87058"
"code-security/security-overview/about-security-overview","84970"
"code-security/supply-chain-security","84410"
"site-policy/security-policies/github-bug-bounty-program-legal-safe-harbor","82689"
"code-security/dependabot/working-with-dependabot/dependabot-options-reference","82448"
"code-security/supply-chain-security/understanding-your-software-supply-chain/about-dependency-review","82448"
"code-security/codeql-cli/getting-started-with-the-codeql-cli/setting-up-the-codeql-cli","78599"
"code-security/code-scanning/creating-an-advanced-setup-for-code-scanning/codeql-code-scanning-for-compiled-languages","78125"
"organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/managing-security-and-analysis-settings-for-your-organization","77335"
"code-security/codeql-cli/getting-started-with-the-codeql-cli/preparing-your-code-for-codeql-analysis","76513"
"code-security/dependabot/dependabot-version-updates","73155"
"code-security/dependabot/dependabot-alerts","72002"
"code-security/dependabot/dependabot-alerts/configuring-dependabot-alerts","71187"
"code-security/dependabot/dependabot-alerts/viewing-and-updating-dependabot-alerts","70992"
"code-security/code-scanning/integrating-with-code-scanning/uploading-a-sarif-file-to-github","70575"
"code-security/code-scanning/creating-an-advanced-setup-for-code-scanning/configuring-advanced-setup-for-code-scanning","69719"
"code-security/security-advisories","69348"
"code-security/codeql-cli","69078"
"organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/audit-log-events-for-your-organization","68664"
"code-security/codeql-cli/getting-started-with-the-codeql-cli/about-the-codeql-cli","65555"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/about-code-scanning","64805"
"organizations/managing-peoples-access-to-your-organization-with-roles/managing-security-managers-in-your-organization","64308"
"code-security/dependabot/working-with-dependabot/keeping-your-actions-up-to-date-with-dependabot","63860"
"code-security/security-advisories/guidance-on-reporting-and-writing-information-about-vulnerabilities/privately-reporting-a-security-vulnerability","63080"
"code-security/secret-scanning/managing-alerts-from-secret-scanning","62160"
"site-policy/security-policies/github-sirt-description-rfc-2350","62031"
"actions/deployment/security-hardening-your-deployments/configuring-openid-connect-in-cloud-providers","61978"
"code-security/security-advisories/working-with-global-security-advisories-from-the-github-advisory-database/browsing-security-advisories-in-the-github-advisory-database","61659"
"code-security/secret-scanning/push-protection-for-repositories-and-organizations","61194"
"code-security/security-advisories/working-with-repository-security-advisories/about-repository-security-advisories","61012"
"site-policy/security-policies/coordinated-disclosure-of-security-vulnerabilities","60594"
"code-security/secret-scanning/configuring-secret-scanning-for-your-repositories","59940"
"code-security/supply-chain-security/understanding-your-software-supply-chain/using-the-dependency-submission-api","59699"
"code-security/secret-scanning/introduction/supported-secret-scanning-patterns","59320"
"actions/deployment/security-hardening-your-deployments/configuring-openid-connect-in-azure","58831"
"code-security/supply-chain-security/understanding-your-software-supply-chain/exporting-a-software-bill-of-materials-for-your-repository","58192"
"organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/accessing-compliance-reports-for-your-organization","57697"
"code-security/secret-scanning/secret-scanning-partner-program","54797"
"code-security/getting-started/securing-your-repository","54245"
"code-security/code-scanning/managing-your-code-scanning-configuration/codeql-query-suites","54136"
"code-security/dependabot/dependabot-auto-triage-rules/about-dependabot-auto-triage-rules","51835"
"code-security/codeql-cli/getting-started-with-the-codeql-cli/analyzing-your-code-with-codeql-queries","49305"
"code-security/code-scanning/managing-code-scanning-alerts/managing-code-scanning-alerts-for-your-repository","49284"
"code-security/code-scanning/managing-code-scanning-alerts/about-autofix-for-codeql-code-scanning","49210"
"code-security/code-scanning/enabling-code-scanning/configuring-default-setup-for-code-scanning-at-scale","48667"
