"Article","Views","Users","ViewsUser","ViewsΔ%"
"index","27377142","16515638","1.66","118497.91"
"authentication/connecting-to-github-with-ssh/generating-a-new-ssh-key-and-adding-it-to-the-ssh-agent","15372465","8965918","1.71","79806.77"
"pages","9717839","7083751","1.37","84270.89"
"authentication/connecting-to-github-with-ssh","8995746","5333306","1.69","84661.58"
"site-policy/github-terms/github-terms-of-service","8608633","5620556","1.53","105696.15"
"authentication/connecting-to-github-with-ssh/adding-a-new-ssh-key-to-your-github-account","8480810","4978471","1.7","75641.81"
"get-started/getting-started-with-git/about-remote-repositories","7807207","5657830","1.38","79314.17"
"authentication/keeping-your-account-and-data-secure/managing-your-personal-access-tokens","7685493","4905224","1.57",""
"get-started/writing-on-github/getting-started-with-writing-and-formatting-on-github/basic-writing-and-formatting-syntax","7266439","4597305","1.58","97318.41"
"site-policy/privacy-policies/github-general-privacy-statement","6713046","4356985","1.54",""
"search","5909508","3614502","1.63","163010.9"
"repositories/creating-and-managing-repositories/cloning-a-repository","4637270","3527285","1.31","92515.74"
"site-policy/privacy-policies/github-privacy-statement","4366221","2469990","1.77","52811.06"
"actions","4300596","2582506","1.67","72361.6"
"copilot/using-github-copilot/getting-started-with-github-copilot","3995958","2113224","1.89",""
"copilot/using-github-copilot/getting-code-suggestions-in-your-ide-with-github-copilot","3812549","2151797","1.77",""
"copilot/getting-started-with-github-copilot","3654958","1974173","1.85","20604.46"
"authentication/securing-your-account-with-two-factor-authentication-2fa/configuring-two-factor-authentication","3577432","2541046","1.41","128862.94"
"actions/using-workflows/workflow-syntax-for-github-actions","3562389","1361932","2.62","52559.11"
"search-github/github-code-search/understanding-github-code-search-syntax","3357913","2507517","1.34","660906.5"
"rest","3284083","1585634","2.07","65450.56"
"authentication/connecting-to-github-with-ssh/checking-for-existing-ssh-keys","3277005","2349131","1.39","69951.41"
"get-started/getting-started-with-git/managing-remote-repositories","2975244","2162997","1.38","71800.53"
"get-started","2889617","1925226","1.5","100094.76"
"pages/getting-started-with-github-pages/configuring-a-publishing-source-for-your-github-pages-site","2766717","1740595","1.59","112781.15"
