"payment_status","subscription_type","plan_name","parent_is_paid","is_paid","user_count"
"Not Paid","Free","","false","false","67,516"
"Paid","Other","","false","true","12"
"Not Paid","Paid via Organization","","true","false","183,159"
"Paid","Paid via Organization","","true","true","10"
"Not Paid","Other","Developer","false","false","194,560"
"Paid","Other","Developer","false","true","38,674"
"Paid","Paid via Organization","Developer","true","false","18,617"
"Paid","Paid via Organization","Developer","true","true","25,682"
"Not Paid","Other","Free","false","false","1,828,863"
"Paid","Other","Free","false","true","98,079"
"Paid","Paid via Organization","Free","true","false","600,751"
"Paid","Paid via Organization","Free","true","true","41,493"
